location,Huolto,Kaivuutyöt,Korjaustyöt,Saneeraus,Vauriokorjaus,Total Outages
Joensuu,7.0,0.0,19.0,34.0,2.0,62.0
Pieksämäki,16.0,0.0,7.0,5.0,1.0,29.0
Leppävirta,10.0,1.0,5.0,5.0,2.0,23.0
Iisalmi,10.0,0.0,0.0,6.0,2.0,18.0
Kiuruvesi,9.0,0.0,4.0,2.0,3.0,18.0
Suonenjoki,5.0,0.0,0.0,9.0,3.0,17.0
Siilinjärvi,13.0,0.0,1.0,1.0,0.0,15.0
Pielavesi,6.0,0.0,0.0,2.0,1.0,9.0
Karttula,2.0,0.0,1.0,1.0,0.0,4.0
Rautalampi,4.0,0.0,0.0,0.0,0.0,4.0
Tahkovuori,3.0,0.0,0.0,1.0,0.0,4.0
Nilsiä,3.0,0.0,0.0,0.0,0.0,3.0
Keitele,2.0,0.0,0.0,0.0,0.0,2.0
Juankoski,1.0,0.0,0.0,0.0,1.0,2.0
Joroinen,1.0,0.0,0.0,0.0,0.0,1.0
Lapinlahti,0.0,0.0,0.0,0.0,1.0,1.0
Maaninka,1.0,0.0,0.0,0.0,0.0,1.0
